,VIF Factor,features
0,3.5892688774379717,1
1,3.724017281642264,2
2,6.550839885536124,3
3,2.373909032936879,4
4,1.5562597434277616,5
5,1.0549053057987687,À¯¼Ó
6,1.0481270256035387,À¯Çà
7,1.1654458332950777,Ç³Çâ
8,1.072367692943414,Ç³¼Ó
